,id,correct_answer,question,answer0,answer1,answer2
0,1019753041464119296,0,An 1800s scam involving watches led directly to the founding of which of these companies?,Sears,Victorinox,Kay Jewelers
1,1019752695077404673,1,A character named Orc appears as a protagonist in the work of what author?,JRR Tolkien,William Blake,Ray Bradbury
2,1019752397919449089,0,An original co-host of “20/20” was also the editor-in-chief of what magazine?,Esquire,Vanity Fair,Time
4,1019752059174780929,1,Which of these polygons has the most sides?,Trisdecagon,Enneadecagon,Octadecagon
5,1019751848176218113,0,Sailors once gave avocados the nickname of “midshipman’s” what?,Butter,Jewel,Nut
6,1019751692190076928,0,"Before hitting it big, the leading star of what film supported himself as a carpenter?",Blade Runner,Top Gun,Gladiator
7,1019751545943068672,2,Rapa Nui is the indigenous name of what location?,Greenland,Mount Everest,Easter Island
8,1019751324827766784,1,Which US president had a middle name that was just a single letter?,Dwight Eisenhower,Harry Truman,Ronald Reagan
9,1019751162344542208,1,Which baseball position stands several inches higher than the other players during the game?,Catcher,Pitcher,Shortstop
10,1019750883616280576,0,San Diego’s massive annual convention celebrating modern pop culture is known as what?,Comic-Con,Pop-Party,Game-Gathering
11,1019750751160193026,0,Which of these is a common cut of steak?,Sirloin,Ladyloin,Madameloin
12,1019660869796614144,1,What character did Tom Hanks play in the highest-grossing movie to star him?,Delivery man,Sheriff,War veteran
14,1019660353121243136,0,Which band made a music video featuring comedy legend Milton Berle as a woman?,Ratt,Poison,Quiet Riot
15,1019660128214245377,1,Which of these is NOT considered part of Polynesia?,Samoa,Guam,Hawaii
16,1019659972316160001,2,"In the 1800s, the term “hot mess” was often used to describe which of these things?",Literature,Religious services,Food
17,1019659832415072257,2,What color stripe is at the bottom of a properly displayed LGBT pride flag?,Red,Pink,Violet
18,1019659570690576389,0,Which of these words is an adverb?,Happily,Happiness,Happy
19,1019659200039936002,2,"To win Tic-Tac-Toe, a player needs to get what?",The most Xs,The most Os,Three in a row
21,1019404460278370304,0,Which of these sporting events takes the most days to complete?,Tour de France,Little League World Ser.,Wimbledon
22,1019404241851637761,0,Which player won the MVP in a year he didn’t even make the All-Star team?,Chipper Jones,Reggie Jackson,Mark McGwire
23,1019404035823165440,1,Which player scored 50 points in a game without a single point in the paint?,James Harden,Carmelo Anthony,Steph Curry
24,1019403885994274816,0,What is the only nation besides Canada or the US to get a silver medal in women’s Olympic hockey?,Sweden,Russia,Finland
25,1019403735896936448,1,The first solo woman to be named Sports Illustrated’s Sportsperson of the Year played what sport?,Golf,Tennis,Soccer
26,1019403563762626561,0,Who was NOT one of the five fighters to defeat Muhammad Ali?,George Foreman,Ken Norton,Joe Frazier
27,1019403378596696067,0,Who has blown the most saves in Major League history?,Goose Gossage,Lee Smith,Trevor Hoffman
28,1019403228910366721,0,Which of these nations has played in the greatest number of World Cup matches?,Italy,Argentina,England
29,1019403079987458048,0,What New York Giant made the winning score to beat the Patriots in Super Bowl XLII?,Plaxico Burress,David Tyree,Amani Toomer
30,1019402870070960128,2,"On the MLB All-Star team, which starting position is chosen by fan vote?",NL designated hitter,Pitcher,Catcher
31,1019402604475047936,0,Which athlete’s real first name is Eldrick?,Tiger Woods,Ronaldinho,Magic Johnson
32,1019402461503787008,2,Which of these icons just played in the MLB All-Star Celebrity Softball Game?,Ty Cobb,Air Bud,Scott Rogowsky
33,1019389860132655107,0,Who created wedding dresses for the two most recently married first daughters?,Vera Wang,Ralph Lauren,Donna Karan
34,1019389500538179584,1,Which of these nations does NOT depict a rainbow on its current national flag?,El Salvador,Guatemala,Nicaragua
35,1019389347978792960,0,Catholic Priests traditionally conduct “vespers” at around what time?,Sunset,Sunrise,Midnight
36,1019389147730018309,1,"In the original Super Mario Bros. game, Mario entering a pipe sounds the same as what?",Getting a 1-UP,Shrinking,Getting a vine
37,1019388986295504897,1,"In Spanish, the phrase “en absoluto” usually means which of these things?",Maybe,Not at all,Yesterday
38,1019388826962317313,1,"In George Orwell’s allegorical book “Animal Farm,” what species represented the working classes?",Ravens,Horses,Pigs
39,1019388657260810247,2,What is a trumpet typically made out of?,Nickel,Aluminum,Brass
40,1019388416407035904,0,"In Disney’s “Snow White and the Seven Dwarfs,” how does the Queen address her mirror?",Magic mirror,Faithful mirror,"Mirror, mirror"
41,1019388240472760325,2,Which of these countries’ capital cities has the highest population?,Spain,Germany,Japan
42,1019388097589579777,0,Who makes the computer operating system most famous for the “Blue Screen of Death”?,Microsoft,Apple,Linux
43,1019387889258508288,0,"Chicago’s rapid transit system is nicknamed “the L,” which is short for what?",Elevated,Elvish,’Ello!
44,1019387693204234240,1,Human babies are surprisingly good at which of these things?,Baking cobblers,Grabbing things,Filing nails
45,1019298691927216128,1,"When Amazon crashed on Prime Day, the website displayed pictures of what?",Jeff Bezos,Dogs,Clouds
46,1019297602096058369,1,"According to “Forbes,” who is now Hollywood’s highest-paid actor?",Tom Cruise,Dwayne Johnson,Chris Pratt
48,1019027584640790528,2,Jerry Seinfeld’s sitcom debut took place on a spin-off of what show?,Three’s Company,Happy Days,Soap
49,1019027273687683077,1,"By final score, what team won the closest Super Bowl of all time?",New England Patriots,New York Giants,Dallas Cowboys
50,1019027073615228936,0,"Ahead of Google, who was associated with a free email service named G-mail?",Garfield,Spice Girls,Al Gore
51,1019026788553551874,0,Which of these words does NOT appear in The Doors’s “Light My Fire”?,Dire,Liar,Pyre
53,1019026372784807936,0,The Japanese word “tsundoku” means buying books and doing what with them?,Not reading them,Decorating the covers,Giving them away
54,1019026215775162368,1,Which of these historical figures did NOT serve as vice president?,Thomas Jefferson,John Hancock,John Adams
55,1019025999890124800,1,Which of these words is most common in Atlanta street names?,Georgia,Peachtree,Southern
56,1019025854175817731,2,Sandra Day O’Connor was the first woman to serve in what role?,Secretary of State,Governor of Arizona,Supreme Court justice
57,1019025639171555329,0,Which of these is a species of snake?,Ball python,Marbled salamander,Axolotl
58,1019025477930020864,2,What does the “AM” stand for in 7:00 AM?,Ahh... Morning!,"Arise, Mates",Ante Meridiem
59,1019025323579633664,2,Which of these are designed to protect your eyes from the sun?,Capes,Jorts,Sunglasses
60,1018935960199991301,2,Which member of the royal family did NOT attend Prince Louis’s christening this past week?,Prince Charles,Meghan Markle,The Queen
61,1018935563481690115,0,The hacker group named in Robert Mueller’s indictments on Friday took its name from what designer label?,Gucci,Fendi,Prada
62,1018935387299942401,1,Who did NOT roast Bruce Willis this past weekend?,Demi Moore,Sarah Silverman,Martha Stewart
63,1018935148400861184,1,"At the end of the summer, which retail chain will have only one physical location left in the US?",Borders,Blockbuster,Toys R Us
64,1018934931723116545,0,"At Beyoncé’s concert in Paris this weekend, who was seen dancing with her mom?",Michelle Obama,Drake,Jennifer Lawrence
65,1018934669629325313,1,A family of woodchucks has made national headlines for allegedly doing what?,Collapsing a bridge,Eating a car,Stealing a statue
66,1018934500489859073,0,The World Cup final was briefly stopped because of what?,Protesters on the pitch,Nearby lightning,Loose cat
67,1018934448342142977,2,Instagram recently launched a feature that allowed users to do what?,Travel through time,Take candy from babies,Ask questions
68,1018665727665025024,2,Which of these characters’ names was inspired by a real-life zoo animal?,Donald Duck,Pepé Le Pew,Winnie the Pooh
70,1018665334818201602,2,Which of these African cities is a national capital?,Lagos,Casablanca,Dakar
71,1018665135370579968,0,"In the original Hotmail logo, what four letters were capitalized?",HTML,HOTM,MAIL
73,1018664748882198528,2,Which group was an inaugural inductee to the Rock &amp; Roll Hall of Fame?,Righteous Brothers,Allman Brothers,Everly Brothers
74,1018664560260190208,0,Which of these characters has Lin-Manuel Miranda played on “Sesame Street”?,Real estate agent,Close-up magician,Pool lifeguard
75,1018664360896552960,0,Which vice president served under the US president currently featured on the dime?,Henry Wallace,Lyndon Johnson,Aaron Burr
76,1018664201869459456,2,The inventor of the Super Soaker also held what job?,Olympic swimming coach,Secret Service agent,NASA engineer
77,1018664045845602305,2,Which of these companies was acquired by Yahoo?,Myspace,Napster,Tumblr
78,1018663845794066432,1,Which of these books was NOT written by Jane Austen?,Sense and Sensibility,Crime and Punishment,Pride and Prejudice
79,1018663712490696706,2,"In a typical rainbow, which of these colors is closest to the middle?",Violet,Red,Yellow
80,1018663557704159237,1,The phrase “Mum’s the word” is used to ask people to do what?,Do their chores,Be quiet,Fetch a dictionary
81,1018663380020793349,2,"In the famous tongue twister, where does she sell seashells?",On eBay,Out of her van,By the seashore
82,1018663231894753280,1,What do people typically put in their hair after shampoo?,Duck sauce,Conditioner,Chocolate sprinkles
83,1018526438969020418,0,What nation has been named as a World Cup host more than any other?,Mexico,Brazil,Germany
84,1018526214095548416,2,Who was the last player besides Lionel Messi or Cristiano Ronaldo to win the Ballon d’Or?,Ronaldinho,�Brazilian Ronaldo”,Kaka
85,1018526068662206465,2,Who scored the winning goal for the US to give the country its first World Cup?,Abby Wambach,Brandi Chastain,Michelle Akers
86,1018525900655202305,0,Where was the last men’s World Cup game decided by the Golden Goal rule?,Japan,Brazil,South Korea
